,recipe_id,ingredient_name,ingredient_amount,ingredient_unit,ingredient_remainder
0,1,rice noodles,12,oz.,(dried flat)
1,1,vegetable oil,2,Tbsp.,(divided)
2,1,chicken breast,1.5,lb.,(cut into 1-inch cubes)
3,1,lime juice,0.25,cup,(freshly squeezed)
4,1,fish sauce,2,Tbsp.,
5,1,soy sauce,2,Tbsp.,
6,1,creamy peanut butter,2,Tbsp.,
7,1,Sriracha,1.5,Tbsp.,
8,1,tamarind concentrate,2,tsp.,
9,1,granulated sugar,1,tsp.,
10,1,thai chiles,1,Tbsp.,"(finely chopped, plus more for garnish, if you don't like spicy, you can use less or cut out altogether)"
11,1,red bell pepper,1,,(thinly sliced)
12,1,shredded carrots,1,cup,
13,1,large garlic cloves,2,,(minced)
14,1,large eggs,3,,(lightly beaten)
15,1,bean sprouts,1,cup,
16,1,scallions,0.25,cup,"(chopped, for garnish, optional)"
17,1,peanuts,0.25,cup,"(crushed, for garnish, optional)"
18,1,chopped cilantro,,,"(for garnish, optional)"
19,1,lime wedges,,,"(for garnish, optional)"
0,2,minced garlic,1,tsp.,
1,2,thai chiles,2,,(very thinly sliced)
2,2,palm sugar,4.5,oz.,"(or 2/3 cup, 5 oz./155 g firmly packed brown sugar)"
3,2,tamarind paste,0.5,cup,
4,2,asian fish sauce,6,Tbsp.,
5,2,fresh lime juice,1.5,tsp.,
6,2,pad thai noodles,7,oz.,
7,2,canola oil,2,Tbsp.,
8,2,large shrimp,1,lb.,(peeled and deveined)
9,2,red pepper flakes,1,pinch,
10,2,eggs,3,,
11,2,extra firm tofu,5,oz.,(julienned)
12,2,carrots,2,,(peeled and julienned)
13,2,bean sprouts,4,oz.,
14,2,green onions,2,,"(white and light green portions, sliced)"
15,2,cilantro leaves,,,
16,2,roasted peanuts,,,
17,2,lime wedges,,,
0,3,rice noodles,160,grams,"(cooked as the package says, for an extra flavor, add some sugar in the water)"
1,3,soybean sprouts,1,cup,
2,3,chicken,100,grams,(cut into small pieces)
3,3,eggs,2,,
4,3,carrots,1,,(diced)
5,3,roasted peanuts,3,Tbsp.,(crushed)
6,3,tamarind juice,0.666666667,cup,(or 4 teaspoons white vinegar mixed with 6 teaspoons water)
7,3,sugar,3,tsp.,
8,3,fish sauce,2,tsp.,
9,3,soy sauce,2,tsp.,
10,3,spring onions,2,tsp.,(chopped)
11,3,chili powder,1,pinch,
12,3,oil,6,Tbsp.,
13,3,salt,1,pinch,
14,3,crushed garlic,5,cloves,
0,4,rice stick noodles,10,oz.,
1,4,boiling water,,,
2,4,limes,3,,(plus 1 more if needed for juice)
3,4,light brown sugar,0.333333333,cup,(packed)
4,4,fish sauce,0.25,cup,
5,4,chili garlic sauce,2,tsp.,
6,4,Worcestershire sauce,2,tsp.,
7,4,green onions,2,,
8,4,roasted salted peanuts,0.333333333,cup,
9,4,vegetable oil,0.333333333,cup,
10,4,peeled and deveined shrimp,12,,(large)
11,4,large eggs,2,,
12,4,bean sprouts,1.5,cups,
0,5,soy sauce,0.25,cup,
1,5,maple syrup,1,Tbsp.,
2,5,peanut butter,2,Tbsp.,
3,5,lime juice,0.25,cup,
4,5,fish sauce,1,tsp.,(substitute with more soy sauce if vegetarian)
5,5,rice noodles,250,grams,
6,5,garlic,1,Tbsp.,(infused olive oil)
7,5,chicken breasts,2,,"(cubed, use 200g firm tofu for a vegetarian option)"
8,5,eggs,2,,(whisked)
9,5,fresh ginger,2,tsp.,(grated)
10,5,chili,1,,(finely sliced)
11,5,zucchinis,2,,(made into veggie noodles using a spiraliser)
12,5,carrot,1,,(made into veggie noodles using a spiraliser)
13,5,bean sprouts,1,cup,
14,5,spring onion,0.5,bunch,"(green section only, chopped)"
15,5,coriander leaves,1,cup,
16,5,lime,1,,(to serve)
0,6,pad thai noodles,7,oz.,(rice noodles)
1,6,extra-virgin olive oil,1,Tbsp.,
2,6,eggs,2,,
3,6,soy sauce,3,Tbsp.,
4,6,fish sauce,1,Tbsp.,
5,6,Sriracha,1,Tbsp.,
6,6,fresh lime juice,2,Tbsp.,
7,6,canola oil,2,Tbsp.,
8,6,brown sugar,2,Tbsp.,
9,6,peanut butter,1,Tbsp.,(microwaved until just melted)
10,6,bean sprouts,1,cup,(fresh)
11,6,cilantro,1,cup,
12,6,scallions,3,,(thinly sliced)
13,6,peanuts,0.5,cup,(chopped)
14,6,cooked meat,,,"(Optional:, your choice)"
0,7,pad thai noodles,7,oz.,
1,7,extra-virgin olive oil,1,Tbsp.,
2,7,eggs,2,,
3,7,soy sauce,3,Tbsp.,
4,7,fish sauce,1,Tbsp.,
5,7,sambal oelek,1,Tbsp.,(or sriracha)
6,7,fresh lime juice,2,Tbsp.,
7,7,canola oil,2,Tbsp.,
8,7,brown sugar,2,Tbsp.,
9,7,bean sprouts,1,cup,(fresh)
10,7,cilantro,1,cup,
11,7,scallions,3,,(thinly sliced)
12,7,peanuts,0.5,cup,(chopped)
0,8,coconut oil,2,Tbsp.,(or other cooking fat)
1,8,fish sauce,0.25,cup,
2,8,fresh lime juice,6,Tbsp.,
3,8,garlic,2,cloves,(crushed)
4,8,broccoli slaw,24,oz.,(8 to 10 cups)
5,8,large carrots,3,,(julienned or thickly grated)
6,8,shrimp,16,oz.,"(salad, precooked and tails off)"
7,8,fresh cilantro,0.5,cup,(chopped)
8,8,green onions,3,,(sliced)
9,8,roasted unsalted cashews,0.333333333,cup,(chopped)
0,9,oil,3,Tbsp.,
1,9,garlic,2,cloves,(minced)
2,9,egg,1,,(omit for vegan)
3,9,extra firm tofu,3,oz.,"(diced, or cubed chicken)"
4,9,broth,4,cups,(veggie or chicken)
5,9,rice noodles,4,oz.,(also called pad thai noodles)
6,9,soy sauce,3,Tbsp.,
7,9,Sriracha,0.25,tsp.,
8,9,fish sauce,1,Tbsp.,"(For vegan, use adaptation listed in above post)"
9,9,roasted peanuts,0.25,cup,(crushed)
10,9,green onions,0.25,cup,
11,9,red peppers,1,tsp.,(crushed)
0,10,rice noodles,8,oz.,"(flat, linguini or fettuccini width)"
1,10,large eggs,2,,
2,10,vegetable oil,,,
3,10,fish sauce,5,Tbsp.,
4,10,soy sauce,2,Tbsp.,(use gluten-free if needed)
5,10,fresh lime juice,2,Tbsp.,(from 1 lime)
6,10,creamy peanut butter,1,Tbsp.,
7,10,sugar,3,Tbsp.,
8,10,red chili flakes,0.5,tsp.,(dried)
9,10,garlic,4,cloves,(finely chopped)
10,10,fresh ginger,1,Tbsp.,(finely chopped)
11,10,large shrimp,1,lb.,(peeled and deveined)
12,10,salt,,,
13,10,broccoli florets,0.666666667,lb.,
14,10,green onions,4,,"(light and dark green parts, chopped into 1-inch pieces)"
15,10,bean sprouts,1,cup,"(fresh, plus more for garnish if desired)"
16,10,dry roasted peanuts,0.25,cup,(coarsely chopped)
17,10,chopped fresh cilantro,0.5,cup,
18,10,lime wedges,,,"(for serving, optional)"
0,11,rice noodles,12,oz.,(flat)
1,11,boiling water,,,
2,11,vegetable oil,4,Tbsp.,
3,11,cilantro,2,Tbsp.,(chopped)
4,11,red chile,1,,"(small hot, seeded and finely chopped)"
5,11,large shrimp,9,oz.,(peeled and deveined)
6,11,shallots,4,,(finely chopped)
7,11,large eggs,4,,(beaten)
8,11,sugar,1,Tbsp.,
9,11,oyster sauce,2,Tbsp.,
10,11,Thai fish sauce,1,Tbsp.,
11,11,fresh lime juice,2,Tbsp.,
12,11,bean sprouts,9,oz.,
13,11,scallions,4,,"(white and green parts, sliced)"
14,11,unsalted roasted peanuts,1,cup,
15,11,lime,1,,"(cut into 4 wedges, for garnish, optional)"
0,12,brown sugar,2,Tbsp.,
1,12,tamarind paste,0.25,cup,
2,12,fish sauce,2,Tbsp.,
3,12,water,3,Tbsp.,
4,12,rice noodles,6,oz.,
5,12,firm tofu,8,oz.,(cut into small pieces)
6,12,shallots,2,,"(medium, minced)"
7,12,garlic,3,cloves,(minced)
8,12,dried shrimp,2,Tbsp.,(rinsed and chopped)
9,12,daikon radishes,2,Tbsp.,"(sweet, chopped)"
10,12,Sriracha sauce,1,Tbsp.,
11,12,chinese chives,1,cup,(or garlic chives)
12,12,bean sprouts,1,cup,(fresh)
13,12,roasted peanuts,0.25,cup,(finely chopped)
14,12,peanut oil,3,Tbsp.,
15,12,shrimp shells,1,lb.,(removed and deveined if needed)
16,12,eggs,2,,
17,12,fresh cilantro,2,Tbsp.,(optional)
